Date,Solution_BLOCKCHAIN_Papers,Solution_ACCESS_CONTROL_Papers,Solution_ENCRYPTION_Papers,Solution_SUPPLY_CHAIN_RISK_MANAGEMENT_Papers,Solution_IDENTITY_MANAGEMENT_Papers,Solution_DOUBLE_PATTERNING_LITHOGRAPHY_Papers,Solution_ML/DL_Papers,Solution_ANOMALY_DETECTION_Papers,Solution_CRYPTOGRAPHY_Papers,Solution_PENETRATION_TESTING_Papers,Solution_IDS/IPS_Papers,Solution_STATIC_ANALYSIS_Papers,Solution_DYNAMIC_ANALYSIS_Papers,Solution_MULTI_FACTOR_AUTHENTICATION_Papers,Solution_LEAST_PRIVILEGE_Papers,Solution_SESSION_MANAGEMENT_Papers,Solution_CAPTCHA_Papers,Solution_BLACKLISTING_Papers,Solution_RATE_LIMITING_Papers,Solution_GRAPHICAL_MODEL_Papers,Solution_HONEYPOT_Papers,Solution_SOFTWARE_DEFINED_NETWORK_Papers,Solution_GAME_THEORY_Papers,Solution_GRAPH_BASED_ML_Papers,Solution_WHITELIST_Papers,Solution_TRAFFIC_SHAPING_Papers,Solution_PACKET_FILTERING_Papers,Solution_BLACKHOLING_Papers,Solution_RANK_CORRELATION_Papers,Solution_D3NS_Papers,Solution_ID_RANDOMIZATION_Papers,Solution_STRONG_AUTHENTICATION_Papers,Solution_SSL/TLS_Papers,Solution_HTTPS_Papers,Solution_CONTINUOUS_AUTHENTICATION_Papers,Solution_IDENTITY_BASED_ENCRYPTION_Papers,Solution_DATA_SANITIZATION_Papers,Solution_OUTLIER_DETECTION_Papers,Solution_DATA_PROVENANCE_Papers,Solution_ADVERSARIAL_TRAINING_Papers,Solution_TRUSTWORTHY_AI_Papers,Solution_DEEP_PROBABILISTIC_MODEL_Papers,Solution_BAYESIAN_NETWORK_Papers,Solution_TROJAN_ISOLATION_Papers,Solution_HARDWARE_SANDBOXING_Papers,Solution_BEHAVIOR_BASED_DETECTION_Papers,Solution_FORMAL_VERIFICATION_Papers,Solution_SPLIT_MANUFACTURING_Papers,Solution_VULNERABILITY_MANAGEMENT_Papers,Solution_FILE_INTEGRITY_MONITORING_Papers,Solution_VPN_Papers,Solution_CSS_MATCHING_Papers,Solution_URI_MATCHING_Papers,Solution_PRIVACY_PRESERVING_Papers,Solution_SECURE_BOOT_Papers,Solution_MERKLE_SIGNATURE_Papers,Solution_LIVENESS_DETECTION_Papers,Solution_AUDIO_DEEPFAKE_DETECTION_Papers,Solution_3D_FACE_RECONSTRUCTION_Papers,Solution_BIOMETRICS_Papers,Solution_DIGITAL_WATERMARK_Papers,Solution_APPLICATION_WHITELISTING_Papers,Solution_DATA_BACKUPS_Papers,Solution_HIDDEN_MARKOV_MODEL_Papers,Solution_PATCH_MANAGEMENT_Papers,Solution_DATA_AUGMENTATION_Papers,Solution_DIMENSIONALITY_REDUCTION_Papers,Solution_DEFENSIVE_DISTILLATION_Papers,Solution_GRADIENT_MASK_Papers,Solution_RRAM_Papers,Solution_SPATIAL_SMOOTHING_Papers,Solution_NOISE_INJECTION_Papers,Solution_TAINT_ANALYSIS_Papers,Solution_NETWORK_SEGMENTATION_Papers,Solution_USER_BEHAVIOR_ANALYTICS_Papers,Solution_DECEPTION_TECHNOLOGY_Papers,Solution_RISK_ASSESSMENT_Papers,Solution_LOG_CORRELATION_Papers,Solution_DYNAMIC_RESOURCE_MANAGEMENT_Papers,Solution_SANDBOXING_Papers,Solution_DARKNET_MONITORING_Papers,Solution_VIRTUAL_KEYBOARDS_Papers,Solution_CODE_SIGNING_Papers,Solution_FILE_SIGNATURE_Papers,Solution_PUBLIC_KEY_INFRASTRUCTURE_Papers,Solution_VOICEPRINT_AUTHENTICATION_Papers,Solution_MUTUAL_AUTHENTICATION_Papers,Solution_PASSWORD_SALT_Papers,Solution_ONE_TIME_PASSWORD_Papers,Solution_DYNAMIC_BINARY_INSTRUMENTATION_Papers,Solution_ORTHOGONAL_OBFUSCATION_Papers,Solution_PASSWORD_HASHING_Papers,Solution_DNSSEC_Papers,Solution_CERTIFICATE_PINNING_Papers,Solution_SECURE_SIMPLE_PAIRING_Papers,Solution_VULNERABILITY_ASSESSMENT_Papers,Solution_SIEM_Papers,Solution_STANDARDIZED_COMMUNICATION_Papers,Solution_CONTROL_FLOW_INTEGRITY_Papers,Solution_VULNERABILITY_SCANNER_Papers,Solution_PASSWORD_STRENGTH_METERS_Papers,Solution_PASSWORD_MANAGEMENT_Papers,Solution_PASSWORD_POLICY_Papers,Solution_GRAPHICAL_AUTHENTICATION_Papers,Solution_DATA_LOSS_PREVENTION_Papers,Solution_DATA_LEAKAGE_DETECTION/PREVENTION_Papers,Solution_ACTIVITY_MONITORING_Papers,Solution_MOVING_TARGET_DEFENSE_Papers,Solution_KEYSTROKE_DYNAMICS_Papers,Solution_ATTACK_TREE_Papers,Solution_AUTOMATIC_VIOLATION_PREVENTION_Papers,Solution_DISTRIBUTED_LEDGERS_Papers,Solution_SOURCE_IDENTIFICATION_Papers,Solution_IMAGE_RECOGNITION_Papers,Solution_MAUVE_Papers,Solution_HYPERGAME_Papers,Solution_PREBUNKING_Papers,Solution_NLP/LLM_Papers
2014-07,0,30,76,2,1,0,6,6,119,2,13,5,1,1,1,0,0,0,0,1,0,0,6,0,0,0,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,51,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2
2014-08,0,26,79,1,1,0,9,3,107,2,11,5,2,1,0,0,2,0,0,1,0,2,4,0,0,0,0,1,0,0,0,2,1,1,0,3,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,20,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
2014-09,0,64,137,2,5,0,22,14,231,2,48,10,7,1,1,1,5,3,0,3,4,2,11,0,0,0,0,4,1,0,0,7,5,3,0,4,0,0,0,0,0,0,2,0,0,0,9,0,0,0,3,0,0,44,0,0,1,0,1,31,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,61,0,0,0,0,0,0,0,3,0,12,0,1,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,1,0,0,3,2,1,0,0,0,2,0,0,0,6
2014-10,0,57,178,0,2,0,23,16,285,4,63,8,4,3,1,0,2,0,0,4,7,8,5,0,0,0,1,7,1,0,0,6,5,3,1,4,0,1,0,0,0,0,11,0,0,0,6,0,0,0,3,0,0,26,0,1,1,0,0,45,0,0,1,6,0,0,1,0,0,0,0,0,3,0,0,0,67,0,0,0,0,0,1,0,8,0,14,0,2,1,0,0,1,1,0,7,1,1,1,6,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,0,2
2014-11,1,59,192,2,5,0,33,16,306,1,67,14,6,2,2,1,2,0,2,1,3,3,17,0,0,0,2,9,0,0,0,2,6,7,3,5,0,0,2,1,0,0,7,0,0,0,5,0,0,0,2,0,0,46,0,0,0,0,0,32,0,0,1,6,0,0,3,0,0,0,0,0,3,0,0,0,74,0,0,2,0,0,3,0,9,0,13,0,5,1,0,0,2,0,0,12,0,0,2,2,1,0,0,0,0,2,0,10,3,1,0,1,1,3,0,0,0,4
2014-12,0,77,179,1,12,0,31,28,358,1,68,13,10,2,3,1,5,1,1,0,9,9,17,0,0,0,0,3,2,0,0,3,2,3,1,9,1,0,4,0,0,0,11,0,0,1,10,0,1,0,4,0,0,42,0,0,6,0,0,53,5,0,1,4,0,0,3,0,0,0,0,1,3,0,1,0,87,0,0,0,0,1,1,0,7,0,16,0,4,0,0,0,3,0,0,11,2,0,0,5,0,1,1,0,0,1,0,1,2,2,0,0,0,3,0,0,0,5
2015-01,0,82,180,1,9,0,28,14,299,6,61,8,6,1,0,3,2,1,0,1,3,4,18,0,0,0,3,6,2,0,0,0,2,2,1,5,1,1,3,0,0,0,4,0,0,0,4,0,1,0,0,0,0,34,1,0,2,0,0,41,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,90,0,0,2,0,0,0,0,5,0,23,0,2,0,0,1,2,0,0,13,1,0,1,1,0,0,1,0,1,0,0,6,4,1,0,1,1,1,0,1,0,2
2015-02,0,43,112,1,2,0,16,5,186,2,23,6,5,3,0,0,0,0,0,0,1,4,18,0,0,0,0,5,0,0,0,4,1,1,1,6,1,3,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,19,0,1,0,0,0,22,2,0,2,2,1,0,1,0,0,2,0,0,1,0,0,0,34,0,0,1,0,0,0,0,5,0,7,0,1,0,0,0,0,0,0,8,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0
2015-03,1,38,104,2,4,0,12,20,170,3,29,8,5,0,1,1,4,1,1,0,1,5,10,0,0,0,0,5,0,0,0,2,1,2,1,7,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0,15,0,0,0,0,0,29,1,1,0,2,0,0,1,0,0,1,0,1,0,1,0,0,59,0,0,1,0,1,0,0,9,0,17,0,1,2,0,1,1,0,0,4,0,0,1,1,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1
2015-04,1,52,128,1,4,0,24,13,227,0,33,11,7,1,1,0,4,1,2,2,4,4,8,0,0,0,0,4,0,0,0,3,4,2,1,8,0,2,1,0,0,0,5,0,0,0,5,0,0,0,0,0,0,24,0,0,3,0,0,21,1,0,0,4,1,0,0,0,0,1,0,0,2,0,1,0,54,0,1,1,0,0,0,0,7,0,9,0,1,0,0,0,0,0,0,3,0,0,3,0,1,1,2,0,0,0,0,0,4,1,0,0,0,3,0,0,0,8
2015-05,0,36,95,2,2,0,11,9,156,2,23,4,4,0,0,2,0,1,0,1,1,0,8,0,0,0,0,3,1,0,0,4,0,1,1,5,0,1,1,0,0,0,4,0,0,0,2,0,0,0,2,0,0,17,0,0,1,0,0,24,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1
2015-06,0,64,131,0,7,0,27,14,223,1,29,8,7,5,2,0,2,1,2,2,1,9,17,0,0,0,1,2,0,0,0,5,4,1,3,2,0,1,2,0,0,0,8,0,0,0,7,1,0,0,3,0,0,19,0,0,1,0,0,53,1,0,0,6,0,0,1,0,0,1,1,0,3,1,0,0,75,0,0,1,0,0,0,0,8,0,6,0,2,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,3,0,0,0,6
2015-07,3,60,180,0,5,0,31,12,302,1,52,11,8,0,3,0,5,0,4,0,4,6,28,0,0,0,3,9,0,0,0,1,6,3,0,2,1,1,1,1,0,0,7,0,0,0,10,0,1,0,2,0,0,41,1,0,0,0,1,36,2,0,0,4,1,0,1,0,0,0,0,0,4,0,0,0,61,0,0,0,0,2,0,0,4,0,15,0,4,1,0,0,0,0,1,3,5,0,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,4,0,0,0,7
2015-08,0,73,202,1,10,0,34,16,305,5,59,16,8,2,1,1,4,2,0,1,3,8,15,0,0,2,0,3,1,0,0,5,10,5,0,3,0,2,1,0,0,0,8,0,0,0,2,1,0,1,3,0,0,38,0,0,1,0,0,40,1,0,0,7,0,0,1,0,0,0,0,0,4,0,0,0,79,0,0,3,0,0,2,0,12,0,13,0,4,0,0,1,4,0,0,6,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,5,0,0,0,5
2015-09,0,80,209,0,5,0,42,21,359,2,59,18,19,4,2,0,6,0,0,2,10,14,32,0,0,0,0,6,1,0,0,6,5,3,1,7,1,1,4,0,0,0,8,0,0,2,7,0,0,0,3,0,0,52,1,0,2,0,0,47,3,0,1,3,0,0,0,0,0,0,0,0,3,0,1,0,73,0,0,1,1,0,2,0,12,0,20,0,7,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,2,0,0,0,1
2015-10,1,91,221,0,5,0,39,21,340,4,60,18,17,4,1,3,2,0,2,1,8,10,17,0,0,0,3,1,1,0,0,5,6,4,3,7,1,0,1,1,0,0,12,0,0,0,11,0,0,0,2,0,0,47,1,0,1,0,0,34,1,0,1,11,0,1,5,0,0,0,0,1,3,0,0,0,60,0,0,6,0,1,0,0,7,0,11,0,4,1,0,0,1,0,0,7,1,0,5,2,0,0,3,0,0,1,1,12,3,2,0,0,1,5,0,1,0,8
2015-11,0,70,151,1,5,0,31,20,233,4,49,9,5,1,0,0,3,0,1,3,0,5,4,0,0,0,3,8,0,0,0,1,1,2,3,2,0,2,1,1,0,0,9,0,0,0,5,0,1,0,1,0,0,32,0,0,1,0,0,34,0,0,1,3,1,0,1,0,0,0,0,0,3,0,0,0,68,0,0,0,0,1,0,0,6,0,25,0,2,0,0,0,0,0,0,3,3,1,0,3,0,0,0,0,1,3,1,0,1,0,0,0,0,3,0,0,0,1
2015-12,0,117,237,2,7,0,63,30,357,2,66,11,8,3,3,0,7,2,0,3,5,15,25,0,0,0,0,3,1,0,0,2,7,3,4,6,1,2,2,0,0,0,9,0,1,0,6,0,1,0,4,0,0,47,3,0,1,0,0,60,0,0,3,7,0,1,2,0,0,1,0,0,0,1,1,0,99,0,1,3,0,1,0,0,14,0,16,0,3,2,0,1,0,0,0,6,2,0,3,3,0,0,0,2,0,2,2,4,1,4,0,0,1,1,0,0,0,24
2016-01,3,106,231,4,13,0,40,15,369,6,76,13,7,3,1,0,2,1,1,0,1,5,19,0,0,1,2,15,1,0,0,4,5,1,0,11,1,2,0,1,0,0,12,0,0,0,7,0,0,0,6,0,0,36,1,0,0,0,1,44,5,0,2,1,0,0,3,0,0,1,1,2,3,0,1,0,126,0,0,0,0,1,1,1,2,0,25,0,7,0,0,0,1,0,0,11,4,0,0,1,0,0,1,1,0,0,0,2,2,1,0,1,0,4,0,0,0,2
2016-02,1,49,161,0,2,0,20,16,230,2,32,5,4,3,1,0,4,0,0,0,2,7,8,0,0,1,1,7,0,0,0,6,3,1,0,9,1,1,1,0,0,0,6,0,0,0,2,0,0,0,4,0,0,35,0,0,0,0,0,30,1,0,1,1,0,0,6,0,0,0,0,0,2,0,0,0,56,0,0,2,0,2,0,0,5,0,16,0,2,0,0,1,0,0,0,9,1,0,2,1,0,1,0,0,0,2,1,0,3,0,0,0,2,2,0,0,0,3
2016-03,1,69,204,2,7,0,41,22,331,6,61,11,14,3,0,1,4,0,0,1,5,9,14,0,0,0,3,14,0,0,0,1,2,1,4,6,0,2,1,1,0,0,8,0,0,0,10,0,0,0,3,0,0,33,0,0,1,0,0,46,3,0,0,1,0,0,3,0,0,1,0,0,2,0,0,0,67,0,0,1,0,0,1,0,8,0,12,0,3,0,0,0,0,0,0,4,1,0,2,5,0,0,1,0,0,0,1,5,5,2,0,0,0,1,0,0,0,3
2016-04,2,54,141,0,8,0,28,11,230,6,42,6,6,4,0,1,2,0,1,0,3,9,15,0,0,0,1,3,2,0,0,2,2,1,0,5,0,1,0,0,0,0,2,0,0,0,5,1,1,0,3,0,0,39,2,0,0,0,0,23,2,0,2,2,0,0,1,0,0,5,0,0,0,0,0,0,50,1,0,0,0,0,0,0,6,0,10,0,3,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0
2016-05,2,73,177,2,4,0,30,15,238,2,29,12,10,2,0,1,6,1,2,1,4,5,12,1,0,0,0,6,0,0,0,3,2,1,1,2,0,1,0,0,0,0,8,0,0,0,5,1,2,0,3,0,0,35,0,0,1,0,0,42,1,1,0,2,0,0,1,0,0,5,0,0,4,0,0,0,66,0,0,0,0,0,0,0,6,0,12,0,2,0,0,0,0,0,0,6,0,0,2,2,0,0,3,0,0,1,1,2,2,1,0,0,0,3,0,0,0,5
2016-06,0,71,186,1,5,0,44,32,298,10,50,10,7,1,1,0,4,0,0,1,2,19,21,0,0,0,0,2,0,0,0,3,2,4,2,6,0,3,1,0,0,0,5,0,0,0,8,0,0,0,2,0,0,29,0,0,1,0,0,32,2,0,2,6,0,0,2,0,0,2,0,0,0,0,0,0,60,0,0,1,0,1,0,0,5,0,16,0,3,1,0,0,0,1,1,5,0,0,4,2,0,0,0,0,0,0,2,1,4,1,0,0,2,3,0,0,0,1
2016-07,4,107,264,3,4,0,60,33,443,10,88,16,5,3,1,0,7,0,1,2,5,15,27,0,0,0,1,9,0,1,0,1,5,3,1,12,0,3,0,0,0,0,8,0,0,0,16,0,0,0,5,0,0,63,0,0,6,0,0,59,1,0,0,5,0,0,0,0,0,3,0,1,1,0,2,0,70,0,3,0,0,0,0,0,15,0,30,0,5,0,0,1,0,0,0,3,2,0,2,2,0,1,3,0,1,0,0,5,2,4,0,0,2,3,0,0,0,5
2016-08,3,77,222,3,6,0,38,23,320,4,49,14,10,5,3,0,2,0,1,1,3,10,10,0,0,0,3,10,0,0,0,5,8,2,2,8,0,4,1,1,0,0,5,0,0,1,9,0,0,0,2,0,0,50,4,0,3,0,0,55,0,0,3,3,0,0,1,1,0,0,0,1,4,0,1,0,71,0,0,2,0,1,0,0,6,0,9,0,2,1,0,1,1,0,1,7,0,0,0,1,0,1,0,0,1,0,1,3,5,1,0,0,0,2,0,0,0,6
2016-09,4,85,213,0,7,0,44,19,329,8,56,6,2,1,1,0,3,1,1,0,4,22,18,0,0,0,2,19,1,0,0,2,5,1,2,5,0,3,2,0,0,0,4,0,0,0,6,0,0,0,5,0,0,41,1,0,1,0,0,51,4,0,0,3,0,0,2,0,0,2,0,0,1,0,0,0,73,0,0,1,0,0,0,0,10,0,14,0,3,0,0,2,0,0,0,9,0,0,1,1,0,1,1,0,0,0,1,7,2,3,0,0,1,3,0,0,0,2
2016-10,12,87,256,0,5,0,64,38,367,3,71,14,9,3,4,2,4,1,2,0,9,12,19,0,0,2,1,6,0,0,0,5,6,7,2,7,1,3,3,1,0,0,13,0,0,0,5,4,3,0,2,0,0,48,0,0,0,0,0,51,1,1,0,6,1,0,0,0,0,0,0,0,5,0,0,0,68,0,0,3,0,0,0,0,7,0,17,0,6,0,0,1,3,0,0,8,0,0,2,2,1,1,1,2,0,2,1,10,4,4,0,0,1,4,0,0,0,4
2016-11,2,98,246,0,2,0,52,23,419,2,73,12,5,3,0,1,0,1,1,1,5,14,20,0,0,0,2,3,0,0,0,6,7,8,3,6,0,2,1,0,0,0,8,0,0,0,8,1,2,0,7,0,0,50,1,0,1,0,0,65,2,1,1,3,0,0,3,0,0,3,0,1,0,1,0,0,56,0,0,0,0,0,2,1,8,0,20,0,7,0,0,0,1,0,1,3,2,1,1,1,0,0,0,0,0,0,0,2,1,3,0,1,1,3,0,0,0,8
2016-12,9,103,289,0,7,0,70,41,444,5,94,18,6,5,0,0,10,0,2,1,6,23,26,0,0,1,2,12,2,0,0,4,8,2,7,12,0,3,1,0,0,0,7,0,0,0,13,0,0,0,3,0,0,64,2,0,3,0,0,66,2,0,0,4,1,1,1,0,0,0,0,0,7,2,1,0,85,0,0,0,1,1,1,0,17,0,33,0,12,0,0,1,2,1,0,5,1,0,0,4,0,0,0,1,0,1,3,8,3,4,0,2,0,3,0,0,0,3
2017-01,6,140,259,3,10,1,62,23,438,12,91,15,9,4,1,2,0,4,3,1,5,20,24,0,0,0,0,10,0,0,0,2,11,3,4,8,0,4,5,0,0,0,4,0,2,1,12,6,1,0,4,0,0,41,1,0,3,0,0,94,2,1,0,6,0,0,2,0,0,2,0,0,0,1,0,0,114,0,0,4,1,0,1,0,10,0,7,0,4,0,0,0,1,0,0,17,4,0,1,4,0,3,0,0,0,1,3,5,4,2,0,1,0,6,0,0,0,8
2017-02,1,69,189,0,4,0,46,29,304,6,56,8,5,1,1,1,4,2,1,0,5,12,21,0,0,0,0,2,0,0,0,5,4,2,6,6,0,0,1,0,0,0,6,0,0,0,7,1,0,0,1,0,0,42,0,0,0,0,0,45,0,0,1,2,0,0,4,0,0,2,0,0,3,1,1,0,59,0,0,1,0,0,1,0,7,0,8,0,6,0,0,0,0,0,0,6,2,0,1,3,0,1,0,1,1,1,0,2,1,1,0,1,1,3,0,0,0,6
2017-03,9,85,215,1,6,0,45,19,312,3,62,14,7,3,0,0,2,0,0,0,4,19,16,0,0,0,3,8,1,0,0,4,4,0,4,2,0,0,0,1,0,0,2,0,0,0,8,0,1,1,2,0,0,29,1,0,1,0,0,42,2,0,1,3,0,0,3,0,0,1,0,1,1,0,1,0,73,0,0,1,0,0,2,0,6,0,13,0,4,0,0,1,0,0,0,4,2,0,1,2,0,0,0,1,1,1,1,6,3,3,0,0,1,1,0,0,0,4
2017-04,7,52,184,1,7,0,35,18,267,1,65,9,6,0,0,0,4,1,1,1,9,4,24,0,0,0,0,6,0,0,0,1,6,5,4,3,0,1,3,0,0,0,8,0,0,0,7,0,0,0,2,0,0,36,0,0,0,0,0,33,2,0,1,1,0,0,5,0,0,0,0,0,1,1,0,0,51,0,0,2,0,0,1,0,5,0,13,0,4,0,0,0,2,0,0,6,1,0,2,2,0,0,1,1,0,3,2,9,0,3,0,0,0,1,0,0,0,2
2017-05,12,65,204,4,0,0,44,22,332,2,49,8,5,3,3,0,1,0,0,0,2,11,15,0,0,1,0,2,0,0,0,3,3,5,3,5,0,1,1,0,0,0,7,0,0,1,8,2,0,0,3,0,0,29,0,0,0,0,0,45,1,0,1,0,2,1,0,0,0,2,0,0,2,0,2,0,55,0,0,1,0,0,0,0,7,0,14,0,1,0,0,0,0,0,0,4,0,0,3,2,0,0,1,2,0,2,1,7,2,0,0,1,0,2,0,0,0,4
2017-06,25,100,233,3,7,0,81,23,396,3,77,15,12,5,4,0,4,2,1,2,5,20,38,0,0,0,0,7,0,0,0,3,8,6,4,6,0,3,1,0,0,0,5,0,0,0,14,0,1,0,4,0,0,53,0,0,5,0,0,68,2,0,1,4,0,2,4,1,0,4,0,2,2,0,1,0,71,0,0,2,0,1,1,0,12,1,14,0,7,0,0,3,1,0,0,9,3,0,2,1,0,0,0,0,0,0,3,0,4,5,0,3,0,7,0,0,0,4
2017-07,52,206,602,1,18,0,183,81,880,12,190,35,21,8,3,0,11,6,0,3,17,40,40,1,0,1,6,27,0,0,0,11,11,11,5,8,0,8,4,2,0,0,18,0,0,3,10,3,2,0,15,0,0,122,2,0,7,0,2,152,3,0,0,7,0,2,12,0,0,4,0,1,5,0,3,0,107,0,1,2,0,0,3,0,22,0,27,0,10,0,0,2,1,0,0,15,8,1,3,6,0,6,0,1,0,2,2,6,5,2,0,6,2,12,0,0,0,10
2017-08,11,62,168,1,4,0,50,14,288,2,50,19,12,0,2,0,0,1,1,1,3,15,15,0,0,0,2,5,0,0,0,1,4,2,5,4,0,0,2,0,0,0,13,0,0,0,7,0,1,0,0,0,0,47,2,0,0,0,0,23,0,0,1,5,0,2,1,0,0,1,0,1,3,0,2,0,55,0,0,2,0,0,0,0,9,0,14,0,1,1,0,0,2,0,1,9,1,0,2,1,0,0,0,1,0,0,1,2,1,1,0,2,2,4,0,0,0,7
2017-09,28,104,254,0,5,1,64,22,405,3,57,20,15,4,3,0,2,0,0,1,4,21,28,0,0,0,0,4,0,0,0,4,5,4,1,5,0,2,3,0,0,0,7,0,0,0,13,0,1,0,4,0,0,75,1,0,1,0,0,39,1,0,2,4,0,1,1,0,0,3,0,0,5,0,0,0,88,0,0,1,0,0,0,0,7,0,18,0,3,0,0,2,3,0,0,5,3,0,0,2,1,1,0,0,2,0,1,4,2,6,0,2,1,2,0,0,0,4
2017-10,28,129,347,1,8,0,113,41,530,2,101,16,12,3,3,1,4,5,1,3,6,28,32,0,0,0,2,7,2,0,0,3,3,4,3,11,1,4,1,3,0,0,12,0,0,0,12,0,0,0,7,0,0,73,0,0,5,0,0,62,1,1,0,7,5,3,6,0,0,3,1,4,5,0,1,0,106,0,0,1,0,0,1,0,12,0,22,0,5,2,0,1,0,2,0,6,2,0,6,1,1,4,0,2,0,2,2,21,2,0,0,4,1,6,0,0,0,7
2017-11,36,98,249,1,6,0,89,36,419,6,92,20,10,9,4,1,4,3,1,1,3,28,14,0,0,0,0,5,3,0,0,4,5,7,1,4,0,5,3,3,0,0,7,0,0,0,8,0,1,0,4,0,0,51,0,0,0,0,0,52,4,0,0,2,0,0,0,0,0,3,0,0,1,0,1,0,88,0,0,0,0,1,0,0,19,0,26,0,2,0,0,0,1,1,0,4,4,0,1,1,0,0,2,0,1,2,4,3,1,2,0,2,0,6,0,0,0,3
2017-12,48,109,304,1,3,0,104,43,468,4,89,13,16,2,1,1,5,2,1,3,11,26,28,0,0,1,1,1,1,0,0,4,6,3,1,6,0,4,4,1,1,0,12,0,0,0,7,3,1,0,3,0,0,60,3,0,2,0,0,50,2,0,0,4,1,1,2,0,0,0,0,0,1,1,2,0,88,0,0,2,0,1,0,0,6,0,20,0,4,0,0,0,2,2,0,9,1,0,2,3,0,1,4,1,0,0,1,12,2,6,0,3,1,3,0,0,0,14
2018-01,41,93,214,3,8,0,67,15,341,7,61,7,7,6,1,1,3,1,1,0,3,10,32,0,0,0,3,3,0,0,0,4,2,2,3,5,0,1,0,0,0,0,10,0,0,0,9,0,4,1,4,0,0,27,0,0,2,0,0,45,1,0,0,5,1,1,4,0,0,3,0,0,1,0,0,0,108,0,0,0,0,1,0,0,5,0,18,0,0,0,0,0,1,0,1,14,3,0,1,2,0,0,0,0,0,0,3,6,2,4,0,7,0,5,0,0,0,3
2018-02,15,39,132,3,3,0,44,16,217,3,35,3,2,3,1,0,0,0,0,0,3,4,17,0,0,0,0,1,0,0,0,1,1,0,1,4,0,0,1,4,0,0,4,0,0,2,5,2,0,1,0,0,0,15,0,0,1,0,0,19,3,0,1,5,0,0,2,0,0,1,0,0,0,1,0,0,62,0,0,2,0,0,0,0,5,0,9,0,0,0,0,0,0,0,2,5,1,0,0,1,0,1,1,0,0,0,2,3,0,0,0,0,0,4,0,0,0,7
2018-03,42,72,191,0,3,0,64,19,318,2,60,8,11,4,1,0,1,2,0,0,8,17,26,0,0,0,4,3,0,0,0,0,8,3,5,5,0,1,2,0,0,0,9,0,0,0,7,0,0,0,4,0,0,47,1,0,2,0,0,40,0,0,0,2,1,0,1,0,0,1,0,1,2,1,0,1,78,0,0,1,0,0,0,0,8,0,16,0,2,0,0,0,0,0,1,8,1,0,1,1,0,1,1,1,0,1,0,4,1,2,0,2,1,0,0,0,0,3
2018-04,25,60,199,1,2,0,62,23,277,2,50,9,9,3,3,0,5,0,1,1,9,16,14,0,0,1,0,2,1,0,0,4,0,4,3,5,0,2,2,0,0,0,7,0,0,1,6,0,0,0,4,0,0,38,1,0,0,0,0,28,0,0,1,6,2,2,1,0,0,1,0,0,0,0,0,0,81,0,1,3,0,0,1,0,2,0,11,0,3,0,0,0,0,0,0,9,0,0,3,4,0,3,0,1,0,0,0,4,3,0,0,2,1,5,0,0,0,4
2018-05,58,78,236,1,5,0,101,33,347,2,58,15,10,4,1,0,6,1,0,2,6,13,16,0,0,0,0,3,0,0,0,2,7,2,3,3,0,2,4,4,0,0,2,0,0,0,2,2,2,0,2,0,0,54,0,0,5,0,0,43,0,1,0,3,2,3,2,0,0,1,0,0,2,0,0,0,80,0,0,0,1,0,0,0,10,0,17,0,5,0,0,1,0,0,0,4,1,0,1,0,0,0,0,1,0,0,1,3,1,5,0,8,2,7,0,0,0,5
